S. No.,Headline,Website,point by,minutes ago
1,Ask HN: What are the most popular or up-and-coming tech buzz words?,No website given,loceng,3 minutes ago
2,Fixing a Chrome Windows Only Game Bug,anguscheng.com,4pkjai,3 minutes ago
3,Apple drops PWA support on iOS for EU users,twitter.com/firt,franky47,4 minutes ago
4,Birmingham (UK) City Bankrupt Partly Due to a New IT Implementation,theregister.com,danielovichdk,9 minutes ago
5,Automate Any Workflow with AI,agenthub.dev,udev4096,14 minutes ago
6,Subaru Outback 2019 parasitic drain/DCM,No website given,SloaneFrench,14 minutes ago
7,Ask HN: Keeping Up with Medical Developments,No website given,willsmith72,17 minutes ago
8,Toilet story 3 in oscilloscope [video],youtube.com,ThaRedah,19 minutes ago
9,Using code as documentation to save time and share context,github.com/readme,thatxliner,21 minutes ago
10,The Mind-Boggling Reach of Super Bowl Commercials: A Statistical Analysis,statsignificant.com,thunderbong,23 minutes ago
11,Scammed Crypto Reclaimed with Alien Wizbot,No website given,deborahroland,25 minutes ago
12,Pakistan shuts down internet on election day,dawn.com,eynsham,26 minutes ago
13,Pull Requests – Expressjs/Express,github.com/expressjs,lopkeny12ko,30 minutes ago
14,The call to learn – Clifford Stoll [video],youtube.com,ColinWright,32 minutes ago
15,Questionnaire – Wendell Berry (1971),yale.edu,2024throwaway,34 minutes ago
16,Texas firm allegedly behind fake Biden robocall that told people not to vote,arstechnica.com,prydt,37 minutes ago
17,Secondhand EVs Are Starting to Look Like a Bargain,bloomberg.com,helsinkiandrew,38 minutes ago
18,NASA Is Laying Off,engadget.com,intesars,42 minutes ago
19,The Vue CheatSheet,themeselection.com,devsoul,46 minutes ago
20,"Microsoft Confirms Bringing Sudo for Windows, Is Open-Source Too",phoronix.com,mindracer,52 minutes ago
21,A Zoomable Interactive Python Thread Visualization,dabeaz.com,Intralexical,1 hour ago
22,The McDonalds app for Android has been opening on its own for months,reddit.com,noduerme,1 hour ago
23,Denmark orders schools to stop sending student data to Google,bleepingcomputer.com,cuu508,1 hour ago
24,"Rust wont save us, but it's ideas will",glitchbyte.io,tinrab,1 hour ago
25,Let's change the cultural meaning of the penis,thecritic.co.uk,weakerthansword,1 hour ago
26,Simple Precision Time Protocol at Meta,fb.com,atg_abhishek,1 hour ago
27,Lab Grown Diamonds Are Too Perfect for Their Own Good,theatlantic.com,tptacek,1 hour ago
28,Nordic architects' open letter reignites scorching Autodesk criticism,archinect.com,nsoonhui,1 hour ago
29,"Ask HN: Getting into RISC-V, which board should I get?",No website given,weinzierl,1 hour ago
30,Check your status with Tailscale and decrypt the encrypted file using GPG,github.com/bxb100,humanlity,1 hour ago
31,University is launching a new science course to train scientists of the future,studylink.com,zekrioca,1 hour ago
32,Through the Looking Glass (1988),fourmilab.ch,brimtown,1 hour ago
33,New method to more accurately spot underground nuclear tests,eurekalert.org,ulrischa,1 hour ago
34,Cloud Capex Retrospective 2023,platformonomics.com,goeldhru,1 hour ago
35,True Delegation vs. Forwarding,github.com/manifold-systems,owlstuffing,1 hour ago
36,"When ""letting it crash"" is not enough",flawless.dev,thunderbong,1 hour ago
37,Your clicks are my business (2016),youtube.com,rithikjainNd01,1 hour ago
